CLIENTE,CONEXAO,EDGEID,FORNECEDOR,"FUNCAO_INTERFACE",HOSTNAME,IDHOST,IDINT,INTERFACE,"IP_GERENCIAMENTO","IP_IP2",MODELO,"NOME_CLIENTE","NOME_FANTASIA","NOME_LOCALIDADE_MERAKI",PRIMEID,SERIAL,"SIGLA_CIENTE","SOLUCAO_ID","TIPO_EQUIPAMENTO",TOKEN,URL,USER,timeInputLookupBdi
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0019910-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-YEQN-DRRW.mera.boti",193365,5368117,lan1,,"10.200.14.66",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19910-00#00","Q2PD-YEQN-DRRW",BOTI,201864154,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< 11989604556 ( 4g ) > % #B-LJ-AB-0019910-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-8NNE-DQYP.mera.boti",187670,5360544,wan2,,"10.1.1.155",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19910-00#00","Q2KN-8NNE-DQYP",BOTI,201864154,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< rceip19365 (bld)  4mb > % #B-LJ-AB-0019910-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-8NNE-DQYP.mera.boti",187670,5360543,wan1,,"200.249.64.142",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19910-00#00","Q2KN-8NNE-DQYP",BOTI,201864154,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0019907-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-FA55-XLW9.mera.boti",191086,5365852,lan1,,"10.207.143.98",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19907-00#00","Q2PD-FA55-XLW9",BOTI,201864152,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< rce/ip/19376 (bld)  4mb > % #B-LJ-AB-0019907-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-8LYK-7DFL.mera.boti",187661,5360527,wan1,,"189.23.2.2",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19907-00#00","Q2KN-8LYK-7DFL",BOTI,201864152,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< 11994403549 (4g) > % #B-LJ-AB-0019907-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-8LYK-7DFL.mera.boti",187661,5360528,wan2,,"192.168.0.149",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19907-00#00","Q2KN-8LYK-7DFL",BOTI,201864152,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< rce/ip/19366 (4m-bld) > % #B-LJ-AB-0019906-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-6B5Z-9APG.mera.boti",187138,5359583,wan1,,"189.52.84.238",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19906-00#00","Q2KN-6B5Z-9APG",BOTI,201864151,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< 11989652453 (4g) > % #B-LJ-AB-0019906-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-6B5Z-9APG.mera.boti",187138,5359584,wan2,,"192.168.0.122",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19906-00#00","Q2KN-6B5Z-9APG",BOTI,201864151,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0019906-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-4AGH-BU2T.mera.boti",190267,5365040,lan1,,"10.207.161.227",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#19906-00#00","Q2PD-4AGH-BU2T",BOTI,201864151,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AM-0019904-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-HY5R-TQXM.mera.boti",191387,5366153,lan1,,"10.207.146.35",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AM-00","BOTI#19904-00#00","Q2PD-HY5R-TQXM",BOTI,201864150,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-AM-0019904-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2QN-6R47-5X4J.mera.boti",193825,5368959,wan1,,"10.191.3.102",MX65,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AM-00","BOTI#19904-00#00","Q2QN-6R47-5X4J",BOTI,201864150,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-AM-0019904-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2QN-6R47-5X4J.mera.boti",193825,5368960,wan2,,"192.168.0.115",MX65,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTO","B-LJ-AM-00","BOTI#19904-00#00","Q2QN-6R47-5X4J",BOTI,201864150,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< rce/ip/19370 (4mbld) > % #B-LJ-AB-0019901-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-DQRQ-KTNF.mera.boti",188700,5362391,wan1,,"200.249.121.2",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - PERFUMARIA E COSMETICOS SALVADOR LT","B-LJ-AB-00","BOTI#19901-00#00","Q2KN-DQRQ-KTNF",BOTI,201864148,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< 11993180773 (4g) > % #B-LJ-AB-0019901-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-DQRQ-KTNF.mera.boti",188700,5362392,wan2,,"192.168.0.130",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - PERFUMARIA E COSMETICOS SALVADOR LT","B-LJ-AB-00","BOTI#19901-00#00","Q2KN-DQRQ-KTNF",BOTI,201864148,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0019901-PE-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-2ABC-MSEK.mera.boti",190074,5364847,lan1,,"10.200.10.162",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - PERFUMARIA E COSMETICOS SALVADOR LT","B-LJ-AB-00","BOTI#19901-00#00","Q2PD-2ABC-MSEK",BOTI,201864148,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0020490-BA-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2CX-5VZE-7RSH.mera.boti",185824,5357813,lan1,,"10.199.179.147","MS120-8FP","O BOTICARIO FRANCHISING LTDA","BOTI - BELEZA.COM COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#20490-00#00","Q2CX-5VZE-7RSH",BOTI,201864106,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< adsl cliente > % #B-LJ-AB-0020490-BA-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-5PWM-4VPA.mera.boti",187009,5359346,wan1,,"10.1.1.2",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - BELEZA.COM COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#20490-00#00","Q2KN-5PWM-4VPA",BOTI,201864106,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< 11993184989 (4g) > % #B-LJ-AB-0020490-BA-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-5PWM-4VPA.mera.boti",187009,5359347,wan2,,"10.1.1.132",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - BELEZA.COM COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#20490-00#00","Q2KN-5PWM-4VPA",BOTI,201864106,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0020490-BA-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-2SM5-KHJD.mera.boti",190137,5364910,lan1,,"10.207.179.130",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - BELEZA.COM COMERCIO DE PRODUTO","B-LJ-AB-00","BOTI#20490-00#00","Q2PD-2SM5-KHJD",BOTI,201864106,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-CO-0020482-BA-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-FB8P-HKQQ.mera.boti",191101,5365867,lan1,,"10.207.109.66",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - BELEZA.COM COMERCIO DE PRODUTO","B-LJ-CO-00","BOTI#20482-00#00","Q2PD-FB8P-HKQQ",BOTI,201864101,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-CO-0020482-BA-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-GG75-XEZN.mera.boti",189200,5363281,wan1,,"192.168.1.2",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - BELEZA.COM COMERCIO DE PRODUTO","B-LJ-CO-00","BOTI#20482-00#00","Q2KN-GG75-XEZN",BOTI,201864101,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-CO-0020482-BA-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-GG75-XEZN.mera.boti",189200,5363282,wan2,,"-",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - BELEZA.COM COMERCIO DE PRODUTO","B-LJ-CO-00","BOTI#20482-00#00","Q2KN-GG75-XEZN",BOTI,201864101,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0016493-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-JWBL-8KJP.mera.boti",191493,5366258,lan1,,"10.207.171.99",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-AB-00","BOTI#16493-00#00","Q2PD-JWBL-8KJP",BOTI,201864033,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0016493-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2CX-86EG-7WAX.mera.boti",186144,5358133,lan1,,"10.199.171.119","MS120-8FP","O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-AB-00","BOTI#16493-00#00","Q2CX-86EG-7WAX",BOTI,201864033,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-AB-0016493-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2QN-RLA4-8SUF.mera.boti",194583,5370445,wan2,,"192.168.0.181",MX65,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-AB-00","BOTI#16493-00#00","Q2QN-RLA4-8SUF",BOTI,201864033,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-AB-0016493-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2QN-RLA4-8SUF.mera.boti",194583,5370444,wan1,,"200.255.172.82",MX65,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-AB-00","BOTI#16493-00#00","Q2QN-RLA4-8SUF",BOTI,201864033,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AM-0016492-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-AWLF-WQXY.mera.boti",190584,5365355,lan1,,"10.207.125.196",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-AM-00","BOTI#16492-00#00","Q2PD-AWLF-WQXY",BOTI,201864032,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< rjo/ip/89547 bld(4m) > % #B-LJ-AB-0016492-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-6CMB-X8SD.mera.boti",187145,5359596,wan1,,"187.29.248.58",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-AB-00","BOTI#16492-00#00","Q2KN-6CMB-X8SD",BOTI,201864032,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< 11992943948 (4g) > % #B-LJ-AB-0016492-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-6CMB-X8SD.mera.boti",187145,5359597,wan2,,"10.1.1.112",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-AB-00","BOTI#16492-00#00","Q2KN-6CMB-X8SD",BOTI,201864032,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-CP-0016491-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2QN-JSR2-BX4W.mera.boti",194325,5369952,wan1,,"100.83.47.64",MX65,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-CP-00","BOTI#16491-00#00","Q2QN-JSR2-BX4W",BOTI,201864031,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-CP-0016491-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2QN-JSR2-BX4W.mera.boti",194325,5369953,wan2,,"192.168.0.141",MX65,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-CP-00","BOTI#16491-00#00","Q2QN-JSR2-BX4W",BOTI,201864031,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-CP-0016491-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-GY4R-RVXJ.mera.boti",191266,5366032,lan1,,"10.207.127.167",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-CP-00","BOTI#16491-00#00","Q2PD-GY4R-RVXJ",BOTI,201864031,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< 038067777902 > % #B-LJ-CO-0016490-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-4G3U-GM5U.mera.boti",186772,5358910,wan1,,"10.1.0.11",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-CO-00","BOTI#16490-00#00","Q2KN-4G3U-GM5U",BOTI,201864030,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< 860743033320478 ( 4g ) > % #B-LJ-CO-0016490-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-4G3U-GM5U.mera.boti",186772,5358911,wan2,,"10.1.1.111",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-CO-00","BOTI#16490-00#00","Q2KN-4G3U-GM5U",BOTI,201864030,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-CO-0016490-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-2YWU-59PZ.mera.boti",190166,5364939,lan1,,"10.207.69.98",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-CO-00","BOTI#16490-00#00","Q2PD-2YWU-59PZ",BOTI,201864030,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","< - > % #B-LJ-AB-0016489-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2PD-FW8J-TCNG.mera.boti",191190,5365956,lan1,,"10.199.157.27",MR33,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-AB-00","BOTI#16489-00#00","Q2PD-FW8J-TCNG",BOTI,201864029,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-AB-0016489-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-V5S4-VU83.mera.boti",189794,5364326,wan1,,"187.29.248.14",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-AB-00","BOTI#16489-00#00","Q2KN-V5S4-VU83",BOTI,201864029,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
"O BOTICARIO FRANCHISING LTDA","<  > % #B-LJ-AB-0016489-RJ-EE $ 1 @ SDWAN !1",,Meraki,Titular,"Q2KN-V5S4-VU83.mera.boti",189794,5364327,wan2,,"10.1.1.165",MX64,"O BOTICARIO FRANCHISING LTDA","BOTI - INTERBELLE COMERCIO DE PRODUTOS DE BELEZA LTDA","B-LJ-AB-00","BOTI#16489-00#00","Q2KN-V5S4-VU83",BOTI,201864029,EDGE,def5b8f753275eaa5ba494a8bea96680a5a68c93,"https://n279.meraki.com/api/v1/organizations",,1637303401
