" 1D",2D,3D,4D,5D,">5D",Cliente,TTs
97,39,30,92,77,44,"COOPERATIVA DE CREDITO RURAL DE SAO MIGUEL DO OESTE SUL",90
43,96,29,85,51,22,"COOPERATIVA DE SERVICOS MEDICOS E HOSPITALARES DE MACEIÓ",17
20,58,52,22,93,75,"COOPERATIVA DOS COND AUT VEICULOS RODOV GRANDE ABC",24
42,33,35,96,58,18,"COPA DO MUNDO FIFA 2014 COMITE ORGANIZADOR BRASILEIRO",16
20,87,60,50,92,79,"CORPRINT DA AMAZONIA GRAFICA E EDITORA LTDA",24
87,54,73,69,96,24,"COSTA TEIXEIRA TRANSPORTES LTDA",78
58,19,19,32,93,50,"CREDIALIANCA COOPERATIVA DE CREDITO RURAL",35
67,35,32,15,12,24,"CREDIARE S A CREDITO FINANCIAMENTO E INVESTIMENTO",64
63,35,77,15,91,81,"CREDITAS SOCIEDADE DE CREDITO DIRETO S A",78
87,48,81,42,24,22,"CREFISA S/A CREDITO FINANCIAMENTO E INVESTIMENTOS",50
12,49,59,32,92,42,"DEVA VEÍCULOS LTDA",22
57,12,43,26,25,75,"DIAGNOSTICO DA AMERICA S/A",12
40,57,20,48,10,49,"DIAGNOSTICOS DA AMERICA S.A",68
39,91,47,94,23,75,"DIPAGRO LTDA",35
20,99,24,96,44,12,"DISTRIBUIDORA DE ELETRONICOS ROUTE 66 LTDA",75
97,81,62,29,71,77,"DISTRIBUIDORA YORK LTDA",15
18,52,14,54,67,89,"DOCPRINT SERVICE TECNOLOGIA LTDA",29
52,73,77,84,51,51,"DRUGOVICH AUTO PECAS LTDA",54
31,22,65,77,21,84,"DURLICOUROS IND E COM DE COUROS EXP E IMPORTACAO LTDA",80
44,90,43,58,42,45,"EASYNVEST - TITULO CORRETORA DE VALORES SA",21
57,97,87,86,35,71,"EC GUADANHIN MAQUINAS E EQUIPAMENTOS EIRELI",57
20,32,96,52,52,96,"EDUCACIONAL MARTINS ANDRADE LTDA",25
96,97,63,31,77,42,"ELECTRA COMERCIO DE PECAS LTDA EPP",10
52,78,66,19,23,82,"ELO SERVIÇOS S/A.",75
31,48,17,22,39,78,"ELSON SOUTO & CIA LTDA",64
30,81,33,11,11,29,"EMBRAGEN EMP BRAS DE ARMAZENS GERAIS E ENTREPOSTOS LTDA",64
20,67,19,75,40,48,"EMPRESA METROPOLITANA DE RADIODIFUSAO LTDA",87
37,39,37,50,65,68,"ERNESTO BORGES ADVOGADOS",76
50,47,42,29,93,13,"ESCOLA BILINGUE DO MARANHÃO",38
88,36,47,87,40,40,"ESCRITA ASSESSORIA CONTABIL LTDA",10
84,31,64,27,50,53,"EUROP ASSISTANCE BRASIL SERVICOS DE ASSISTENCIA S/A.",61
48,60,99,42,88,18,"FAST GONDOLAS EQUIPAMENTOS LTDA",46
20,55,46,20,32,69,"FAST SHOP S A",74
17,68,62,21,48,56,"FD DO BRASIL SOLUCOES DE PAGAMENTO LTDA",46
98,94,46,91,35,61,"FIDELITY NATIONAL SERVICOS E CONTACT CENTER LTDA.",51
96,98,20,70,24,21,"FIDELITY PROCESSADORA E SERVICOS S.A.",10
20,33,97,85,70,35,"FINEP FINANCIADORA DE ESTUDOS E PROJETOS",80
38,46,35,23,24,29,"FLAIRE ATACADISTA LTDA",50
19,15,19,32,15,94,"FORMAQ-MAQUINAS AGRICOLAS LTDA",75
85,62,45,36,89,10,"FOURSYS PROJETOS E SISTEMAS EM INFORMATICA LTDA",15
45,59,72,59,33,89,"FRIGOL S A",19
92,95,43,33,68,35,"FUNDACAO EDUCACIONAL CLAUDINO FRANCIO",35
44,54,59,41,69,51,"FUTURA CAMINHOES E MAQUINAS LTDA",32
74,14,23,48,10,74,"G10 TRANSPORTES LTDA",66
54,82,91,97,51,89,"GEHPPO COMPONENTES MECANICOS LTDA",77
44,94,86,51,52,35,"GEMMA VIAGENS E TURISMO LTDA EPP",87
36,87,69,86,46,71,"GERDAU ACOMINAS S A",28
51,82,74,33,96,72,"GERDAU AÇOS LONGOS S A",24
68,20,72,83,56,87,"GERDAU AÇOS LONGOS SA",29
31,64,41,58,31,51,"GERDAU S A",96
10,10,42,70,92,15,"GERTEC BRASIL LTDA",60
60,69,43,94,60,26,"GH NEVES E CIA LTDA ME",87
20,26,13,23,10,56,"GIRANDO COMERCIO DE PECAS LTDA",84
92,26,14,51,22,39,"GLOBALITY TECNOLOGIA DA INFORMACAO E SISTEMAS LTDA",59
51,76,34,55,68,46,"GRAFTECH BRASIL PARTICIPACOES LTDA",67
58,12,96,34,52,37,"GRANEI METALURGICA DE AUTO PECAS LTDA",49
24,84,61,94,51,24,"GRANEL QUIMICA LTDA",70
54,73,36,43,37,38,"GRANFER CAMINHOES E ONIBUS LTDA",73
30,61,34,21,87,41,"GRESSE CONFECCAO DE ROUPAS EIRELI ME",96
34,64,33,45,88,52,"GRUPO RANGEL CONTABILIDAE EIRELI",91
54,82,97,48,96,51,"GRUPO UP BRASIL",91
21,14,11,44,35,82,"GVD IMPORTACAO E EXPORTACAO LTDA",31
22,94,55,58,82,74,"H3R  F CONSULTORIA LTDA",54
62,99,77,93,78,12,"HANNOVER PLASTICOS S A",12
33,60,99,48,72,80,"HAVAN LOJAS DE DEPARTAMENTOS LTDA",44
79,85,73,88,58,18,"HDI SEGUROS S.A",79
41,67,98,78,53,82,"HDI SEGUROS S.A.",33
18,92,62,85,33,77,"HEXA SOLUTION SERVICOS DE INFORMATICA LTDA",99
84,58,19,81,99,61,"HILEIA INDUSTRIAS DE PRODUTOS ALIMENTICIOS S A",89
87,67,13,38,28,69,"HNK BR INDUSTRIA DE BEBIDAS LTDA",70
36,38,55,46,68,49,"HNK BR INDUSTRIA DE BEBIDAS LTDA.",85
70,24,56,46,78,70,"HOSPITAL DE OLHOS DO TOCANTINS LTDA",99
15,33,99,76,18,87,"HOSPITAL E MATERNIDADE 13 DE MAIO VILA ROMANA S A",81
85,67,82,49,91,17,"HOTEL EXCELSIOR IPIRANGA EIRELI",43
96,40,49,27,94,26,"HOTEL GOYA PLAZA LTDA",89
18,22,51,80,96,80,"HSBC BRASIL S.A. - BANCO DE INVESTIMENTO",20
85,94,90,58,23,57,"HST CARD TECHNOLOGY - DESENVOLVIMENTO DE SISTEMAS LTDA",55
16,15,44,75,73,28,"HUMANA ASSISTENCIA MÉDICA LTDA",83
96,59,79,13,33,55,"IBM BRASIL-INDUSTRIA MAQUINAS E SERVICOS LIMITADA.",69
62,19,82,10,52,76,"ICATU SEGUROS S.A",18
62,45,16,47,16,95,"ICATU SEGUROS S.A.",43
76,91,16,56,87,54,"ICATU SEGUROS S/A",68
91,22,66,58,32,84,"ICATU SEGUROS S/A.",52
18,76,73,32,63,71,"ICBC DO BRASIL BANCO MULTIPLO S.A.",80
88,46,78,43,43,33,"INCOTEP IND E COM DE TUBOS ESPECIAIS DE PRECISÃO LTDA",80
85,99,12,79,14,89,"INDRA BRASIL SOLUCOES E SERVICOS TECNOLOGICOS LTDA",20
60,56,69,51,36,90,"INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA",18
10,39,45,91,16,24,"ING BANK N V",66
93,86,36,32,75,42,"INSTITUTO BRASILIENSE DE OTORRINOLARINGOLOGIA E CARDIOLOGIA",58
45,84,59,51,66,86,"INSTITUTO DE EDUCACAO GLOBAL",35
93,35,62,51,81,51,"INSTITUTO DE ENDOCRINOLOGIA E MEDICINA NUCLEAR DO RECIFE S/A.",42
91,76,97,77,30,90,"INSTITUTO DE ESTUDOS DE PROTESTO DE TITULOS DO BRASIL S",64
61,79,15,87,61,20,"INTEGRA COOPERATIVA DOS PROFISSIONAIS AUTONOMOS DA AREA",15
43,59,78,51,98,64,"INTELIT PROCESSOS INTELIGENTES LTDA",42
92,62,65,77,75,71,"INTERCEMENT BRASIL S.A.",34
72,15,43,47,24,70,"INTERFILE PARTICIPACOES S.A.",87
58,81,69,46,78,52,"INTERTECHNE CONSULTORES S A",69
56,15,96,21,37,94,"INTESA SANPAOLO BRASIL S.A. - BANCO MULTIPLO",36
87,78,39,40,47,56,"IR TRADE ASSESSORIA TRIBUTARIA LTDA EPP",60
31,90,30,60,37,44,"ITA PEÇAS PARA VEICULOS COMERCIO E SERVIÇOS LTDA",85
90,92,74,90,84,32,"ITAIPU BINACIONAL",28
40,48,20,66,64,21,"ITMS DO BRASIL LTDA",47
35,15,60,53,83,20,"IUGU SERVICOS NA INTERNET S A",78
15,89,47,35,72,28,"JARDIM E MACEDO 2001 EMPREENDIMENTOS LTDA",73
28,63,77,96,64,58,"JL FURLAN & CIA LTDA",89
35,51,79,95,43,86,"JSB DISTRIBUIDORA LTDA",69
97,47,31,41,29,37,"K & M SERVICOS DE MANUTENCAO EIRELI",96
77,45,34,28,42,58,"KAON DO BRASIL INDUSTRIA ELETRONICA LTDA",79
77,17,34,44,84,12,"KARNE KEIJO LOGISTICA INTEGRADA LTDA",10
24,82,28,75,21,47,"KATO & BUFALO LTDA",63
56,61,33,63,45,65,"KITCHENS DECORACOES PLANEJAMENTO DE INTERIORES E COMERC",10
42,21,80,45,60,48,"KLABIN S.A",62
26,76,87,85,17,56,"KLABIN S.A.",39
84,63,63,87,70,26,"KURUMA VEICULOS S A",18
87,27,67,42,95,51,"LABORATORIOS BAGO DO BRASIL S A",87
69,93,66,84,83,51,"LAGOA DA SERRA LTDA",49
30,69,85,89,60,51,"LAYNE DO BRASIL SONDAGENS LTDA",38
50,87,94,51,16,78,"LEARDINI PESCADOS LTDA",55
88,66,49,64,47,22,"LEBLON TECNOLOGIA E COMPUTADORES LTDA",78
97,51,85,55,78,18,"LECCA CREDITO FINANCIAMENTO E INVESTIMENTO S A.",39
11,21,96,93,42,18,"LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM",66
33,92,89,81,51,16,"LHB COMERCIO SERVICOS E REPRESENTACOES LTDA",84
14,55,32,40,19,83,"LIBERTY SEGUROS S/A",69
87,12,28,78,31,20,"LOCALIZA RENT A CAR S.A.",67
23,78,69,33,47,90,"LOCAVEL SERVICOS LTDA",35
51,64,51,47,96,46,"LOGOS TELEATENDIMENTO E COBRANÇAS LTDA",17
69,99,11,80,74,69,"LUIZZI INDUSTRIA E COMERCIO DE SOFAS LTDA",49
99,23,82,91,88,33,"MAGAZINE LUIZA S A",70
37,58,17,20,16,33,"MAQUISUL COMERCIAL LTDA",52
55,21,43,52,44,59,"MARCA MOTORS VEICULOS LTDA",78
60,19,12,70,75,58,"MARGEM COMPANHIA DE MINERACAO",50
52,96,45,70,87,69,"MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO S A",65
27,28,65,41,92,71,"MCLG EMPREENDIMENTOS E PARTICIPACOES S. A.",97
64,69,78,52,87,24,"MDJ SUPRIMENTOS DE INFORMATICA LTDA",35
25,21,82,89,18,35,"MERCADO PAGO COM REPRESENTAÇÕES LTDA",15
97,25,53,46,17,90,"META CONTABILIDADE LTDA",21
42,93,72,32,43,17,"MIDWAY S A CREDITO FINANCIAMENTO E INVESTIMENTO",18
19,80,20,59,54,11,"MINAS LAMINACAO BENEFICIAMENTO E COMERCIO DE VIDROS LTD",61
68,99,46,84,53,97,"MINISTERIO PUBLICO DA UNIAO",95
54,18,16,44,18,55,"MJV DIGITAL LTDA",69
51,28,45,34,35,25,"MODELARTE PROJETOS E MODELOS INDUSTRIAIS LTDA",11
24,37,93,65,78,53,"MODELO CONTABILIDADE LTDA",48
53,52,10,46,96,35,"MONEY PLUS SCMEPP.",27
91,24,36,24,38,66,"MONTSERRATE FOMENTO MERCANTIL LTDA",96
66,89,22,75,97,24,"MS AMBIENTAL SOLUCOES AMBIENTAIS LTDA",92
64,11,51,36,44,17,"MSB BANK S.A. BANCO DE CAMBIO",50
74,66,69,41,17,19,"MSTECH EDUCACAO E TECNOLOGIA EIRELI",24
78,19,88,50,12,88,"MUCAMBO S A",20
80,99,84,61,74,29,"MULTICEL PIGMENTOS INDUSTRIA E COMERCIO LTDA",24
75,68,59,17,20,53,"MUSSI & CIA LTDA",29
60,69,11,80,86,81,"MUXI TECNOLOGIA EM PAGAMENTOS S A",72
63,16,55,67,10,42,"NATIXIS BRASIL S/A BANCO MULTIPLO.",98
38,36,17,84,47,21,"NEOS PREVIDENCIA COMPLEMENTAR",82
50,60,67,65,38,38,"NEOVIA NUTRICAO E SAUDE ANIMAL LTDA",96
94,61,71,96,42,57,NETW,21
98,98,70,78,44,71,"NEXXERA TECNOLOGIA E SERVICOS S A",64
39,79,81,29,51,11,"NORSHIP PARTICIPACOES E REPRESENTACOES COMERCIAIS LTDA",22
90,49,33,19,78,15,"NOVO MUNDO CORRETORA DE CAMBIO S/A",63
26,67,82,44,87,91,"NTK SOLUTIONS LTDA",99
54,19,59,60,26,37,"NU PAGAMENTOS S.A.",83
62,34,78,85,64,60,"O BOTICARIO FRANCHISING LTDA",91
40,58,15,19,62,82,"O BOTICARIO FRANCHISING LTDA.",45
34,93,85,78,87,26,"OMNI S/A CREDITO FINANCIAMENTO E INVESTIMENTO",24
26,16,78,81,27,87,"OMR Componentes Ltda",77
55,27,94,67,97,57,"PACAEMBU AUTOPECAS LTDA",15
79,62,84,55,78,94,"PACIFIC HYDRO ENERGIA DO BRASIL LTDA",85
53,30,94,97,11,50,"PAGSEGURO INTERNET S A",44
43,45,10,14,33,38,"PARANA BANCO S/A",49
69,85,64,43,93,49,"PARATI CREDITO FINANCIAMENTO E INVESTIMENTO S A.",41
76,83,47,51,87,51,"PATRI POLITICAS PUBLICAS LTDA",12
72,87,31,40,19,61,"PB LOPES & CIA LTDA",65
64,28,42,15,35,82,"PBKIDS BRINQUEDOS LTDA.",52
55,55,50,83,35,85,"PENHA EMBALAGENS BAHIA LTDA",61
78,76,51,64,97,66,"PERNAMBUCANAS FINANCIADORA S A CRED FIN E INVESTIMENTO",66
52,25,74,71,34,33,"PHOEBUS TECNOLOGIA LTDA",91
87,96,52,59,29,19,"PICPAY SERVICOS S A",53
38,61,65,30,33,60,"PIPO COMERCIO DE PECAS E ROLAMENTOS LTDA",18
60,15,87,51,70,24,"PLAENGE EMPREENDIMENTOS LTDA",96
92,52,82,77,95,79,"PLUMATEX COLCHOES INDUSTRIAL LTDA",41
39,96,75,69,65,86,"PRADO GONCALVES CONSULTORIA IMOBILIARIA LTDA",18
